Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Pteridaceae,82318,17330,Active,Aspidotis californica,California lacefern,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,6,,,,,G5?,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Pteridaceae,82340,17332,Active,Aspidotis densa,"Indian's dream, pod fern",,Accepted,No,Approved,Present,,Native,,Common,,,,1,,24,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Pteridaceae,80913,17439,Active,Cheilanthes covillei,"Coville's lip fern, Coville's lipfern",,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,10,,,,,G4?,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Pteridaceae,81639,17444,Active,Cheilanthes gracillima,lace lipfern,,Accepted,No,Approved,Present,,Native,,Common,,,,1,,17,,,,,G4G5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Pteridaceae,81661,17446,Active,Cheilanthes intertexta,coastal lipfern,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,3,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Pteridaceae,82497,17461,Active,Cryptogramma acrostichoides,American rockbrake,,Accepted,No,Approved,Present,,Native,,Common,,,,1,,24,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Pteridaceae,154145,501830,Active,Cryptogramma cascadensis,Cascade rockbrake,,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,,,1,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Pteridaceae,76708,17640,Active,Pellaea andromedifolia,coffee cliffbrake,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,4,,,,,G4,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Pteridaceae,76741,17643,Active,Pellaea breweri,Brewer's cliffbrake,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,14,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Pteridaceae,76752,17644,Active,Pellaea bridgesii,Bridges' cliffbrake,,Accepted,No,Approved,Present,,Native,,Common,,,,1,,29,,,,,G4,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Pteridaceae,231032,538466,Active,Pellaea mucronata var. californica,,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,5,,,,,,
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Pteridaceae,768426,-9798294,Inactive,Pellaea mucronata var. mucronata,,,Accepted,No,Approved,Present,,Native,,Common,,,,1,,15,,,,,,
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Pteridaceae,160574,504235,Active,Pentagramma pallida,pale silverback fern,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,3,,,,,G3?,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Pteridaceae,203400,524449,Active,Pentagramma triangularis ssp. triangularis,"goldback fern, goldfern, western goldfern",,Accepted,No,Approved,Present,,Native,,Common,,,,1,,2,,,,,G5T5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Woodsiaceae,217930,532445,Active,Athyrium alpestre var. americanum,alpine ladyfern,,Accepted,No,Approved,Present,,Native,,Common,,,,1,,17,,,,,,
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Woodsiaceae,217938,532449,Active,Athyrium filix-femina var. cyclosorum,subarctic ladyfern,,Accepted,No,Approved,Present,,Native,,Common,,,,1,,19,,,,,,
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Woodsiaceae,84468,17482,Active,Cystopteris fragilis,"brittle bladder fern, brittle bladderfern, fragile fern",,Accepted,No,Approved,Present,,Native,,Common,,,,1,,30,,,,,G5,CA: SNR
